company,code,market_cap
Banco Popular,BPOP,$5.76 B
Persimmon,PSN.L,$5.75 B
Kingfisher,KGF.L,$5.75 B
AAK,AAK.ST,$5.75 B
Colruyt,COLR.BR,$5.74 B
Atkore,ATKR,$5.74 B
Topicus,TOI.V,$5.74 B
Buzzi Unicem,BZU.MI,$5.74 B
China Merchants Port,0144.HK,$5.74 B
Vornado Realty Trust,VNO,$5.74 B
Georg Fischer,GF.SW,$5.73 B
A1 Telekom Austria,TA1.F,$5.72 B
Insight Enterprises,NSIT,$5.72 B
Copenhagen Airport,KBHL.CO,$5.72 B
Technoprobe,TPRO.MI,$5.72 B
Option Care Health,OPCH,$5.71 B
EnLink Midstream,ENLC,$5.70 B
Chart Industries,GTLS,$5.70 B
Commercial Metals Company,CMC,$5.70 B
Hitachi Construction Machinery,6305.T,$5.69 B
Quiñenco,QUINENCO.SN,$5.69 B
Bausch + Lomb,BLCO,$5.68 B
Quebecor,QBR-B.TO,$5.67 B
Atlas Arteria,ALX.AX,$5.66 B
Essent Group,ESNT,$5.65 B
Cemig,CIG,$5.65 B
Japan Real Estate Investment,8952.T,$5.65 B
Choice Hotels International,CHH,$5.65 B
Yapı Kredi,YKBNK.IS,$5.65 B
mBank,MBK.WA,$5.64 B
Reynolds Consumer,REYN,$5.63 B
McDonald's Japan,2702.T,$5.63 B
AtkinsRéalis,ATRL.TO,$5.63 B
Treasury Wine Estates,TWE.AX,$5.63 B
Coherent,COHR,$5.62 B
eMemory Technology,3529.TWO,$5.62 B
Allegheny Technologies,ATI,$5.61 B
Howden Joinery,HWDN.L,$5.61 B
Pan American Silver,PAAS,$5.61 B
Viper Energy Partners,VNOM,$5.61 B
IMI plc,IMI.L,$5.61 B
Mytilineos,MYTIL.AT,$5.60 B
Marathon Digital Holdings,MARA,$5.60 B
EVN Group,EVN.F,$5.59 B
Novanta,NOVT,$5.59 B
Wintrust Financial,WTFC,$5.58 B
Dutch Bros,BROS,$5.58 B
KION Group,KGX.DE,$5.57 B
Dechra Pharmaceuticals,DPH.L,$5.57 B
Sonoco,SON,$5.57 B
MasTec,MTZ,$5.57 B
Colliers International,CIGI,$5.56 B
Alcoa,AA,$5.56 B
BOK Financial,BOKF,$5.56 B
Banco de Crédito e Inversiones,BCI.SN,$5.56 B
Securitas AB,SECU-B.ST,$5.55 B
Parkland Corp,PKI.TO,$5.54 B
Hualan Biological Engineering,002007.SZ,$5.54 B
Gildan,GIL,$5.53 B
Abcam,ABCM,$5.52 B
Bank OZK,OZK,$5.51 B
Interpump Group,IP.MI,$5.51 B
Post Holdings,POST,$5.51 B
Immunovant,IMVT,$5.50 B
Taiwan High Speed Rail,2633.TW,$5.49 B
Beacon Roofing Supply,BECN,$5.49 B
Keyera,KEY.TO,$5.49 B
AutoStore Holdings,AUTO.OL,$5.48 B
Asahi Intecc,7747.T,$5.48 B
Taylor Morrison,TMHC,$5.47 B
Timken Company,TKR,$5.47 B
Odakyu Electric Railway,9007.T,$5.47 B
Far Eastern New Century,1402.TW,$5.47 B
Tobu Railway,9001.T,$5.46 B
Crocs,CROX,$5.46 B
United Tractors,UNTR.JK,$5.45 B
MSC Industrial Direct,MSM,$5.45 B
ASICS Corporation,7936.T,$5.44 B
Sensata Technologies,ST,$5.44 B
Aditya Birla Capital,ABCAPITAL.NS,$5.44 B
HK Electric Investments,2638.HK,$5.43 B
Bachem,BANB.SW,$5.42 B
FAW Car,000800.SZ,$5.41 B
Pirelli,PIRC.MI,$5.41 B
Dexus,DXS.AX,$5.41 B
ChampionX,CHX,$5.41 B
National Storage,NSA,$5.41 B
Bright Horizons,BFAM,$5.40 B
Silergy,6415.TW,$5.40 B
Covivio,COV.PA,$5.39 B
Fraport,FRA.DE,$5.39 B
GOL Airlines,GOL,$5.39 B
DS Smith,SMDS.L,$5.39 B
Mirvac Group,MGR.AX,$5.37 B
Columbia Banking System,COLB,$5.37 B
Five9,FIVN,$5.37 B
DiaSorin,DIA.MI,$5.36 B
Nissan Chemical,4021.T,$5.35 B
Clearwater Analytics,CWAN,$5.35 B
IOI Corporation Berhad,1961.KL,$5.35 B
Element Solutions,ESI,$5.35 B
Toyo Suisan,2875.T,$5.35 B
DT Midstream,DTM,$5.35 B
Nedbank,NED.JO,$5.34 B
Infratil,IFT.NZ,$5.34 B
Fuchs Petrolub,FPE.F,$5.34 B
Nexstar Media Group,NXST,$5.34 B
Fresnillo,FNLPF,$5.33 B
MGIC Investment,MTG,$5.33 B
Endeavour Mining,EDV.TO,$5.33 B
Mapletree Industrial Trust,ME8U.SI,$5.33 B
Zhejiang Century Huatong,002602.SZ,$5.33 B
PBF Energy,PBF,$5.32 B
Monotaro,3064.T,$5.32 B
China Gas,0384.HK,$5.32 B
Global Business Travel Group,GBTG,$5.32 B
ACC,ACC.NS,$5.32 B
Dalmia Bharat,DALBHARAT.NS,$5.32 B
The AZEK Company,AZEK,$5.31 B
Nomura Real Estate Master Fund,3462.T,$5.31 B
Valley Bank,VLY,$5.31 B
Dufry,DUFN.SW,$5.30 B
Clearway Energy,CWEN,$5.30 B
UPL,UPL.NS,$5.30 B
Tokyo Century,8439.T,$5.29 B
Nippon Prologis REIT,3283.T,$5.29 B
Qatar Gas Transport Company,QGTS.QA,$5.28 B
Synovus,SNV,$5.26 B
StoneCo,STNE,$5.26 B
NewMarket Corp,NEU,$5.26 B
SPIE,SPIE.PA,$5.26 B
Blueprint Medicines,BPMC,$5.25 B
Ebara Corporation,6361.T,$5.25 B
Chiba Bank,CHBAY,$5.25 B
Alstom,ALO.PA,$5.25 B
Bombardier Recreational Products,DOOO,$5.25 B
Terreno Realty,TRNO,$5.25 B
Charoen Pokphand Indonesia,CPIN.JK,$5.25 B
Jollibee,JBFCF,$5.24 B
Brookfield Renewable,BEPC,$5.23 B
Page Industries,PAGEIND.NS,$5.23 B
Onex,ONEX.TO,$5.23 B
Sealed Air,SEE,$5.22 B
Mueller Industries,MLI,$5.22 B
Cadence Bancorp,CADE,$5.22 B
Scout24,G24.F,$5.21 B
True Corporation,TRUE.BK,$5.20 B
Inspire Medical Systems,INSP,$5.20 B
Companhia Siderúrgica Nacional,SID,$5.20 B
TIS,3626.T,$5.20 B
UGI Corporation,UGI,$5.19 B
Voestalpine,VAS.F,$5.19 B
Hikma Pharmaceuticals,HIK.L,$5.19 B
Hyundai Glovis,086280.KS,$5.19 B
De' Longhi,DLG.MI,$5.18 B
Flowserve,FLS,$5.18 B
Macy's,M,$5.17 B
Lyft,LYFT,$5.16 B
Bumrungrad Hospital,BH.BK,$5.16 B
Vontier,VNT,$5.15 B
Wan Hai Lines,2615.TW,$5.14 B
Doximity,DOCS,$5.14 B
Alamos Gold,AGI,$5.13 B
BOC Aviation,2588.HK,$5.13 B
Valmet,VALMT.HE,$5.13 B
Zhongsheng Group,0881.HK,$5.13 B
Romgaz,RZ8G.F,$5.12 B
Kuala Lumpur Kepong,2445.KL,$5.12 B
Leonardo DRS,DRS,$5.10 B
Allegro MicroSystems,ALGM,$5.10 B
Paytm,PAYTM.NS,$5.10 B
Dun & Bradstreet,DNB,$5.10 B
ALTEN,ATE.PA,$5.09 B
Hanwha Aerospace,012450.KS,$5.09 B
ESAB,ESAB,$5.08 B
Phoenix Mills,PHOENIXLTD.NS,$5.07 B
Merlin Properties,MRL.MC,$5.07 B
MEG Energy,MEG.TO,$5.06 B
Tenable,TENB,$5.05 B
MakeMyTrip,MMYT,$5.05 B
Oberbank,OBS.VI,$5.05 B
Yadea Group,1585.HK,$5.05 B
Bandhan Bank,BANDHANBNK.NS,$5.05 B
Frasers Group,FRAS.L,$5.05 B
Gujarat Fluorochemicals,FLUOROCHEM.NS,$5.05 B
Neoen,NEOEN.PA,$5.04 B
PLDT,PHI,$5.04 B
GameStop,GME,$5.04 B
easyJet,EZJ.L,$5.03 B
Wolfspeed,WOLF,$5.03 B
Cencosud,CENCOSUD.SN,$5.03 B
YTL Corporation Berhad,1773.T,$5.02 B
Polaris,PII,$5.02 B
Atacadão,CRFB3.SA,$5.02 B
Evolution Mining,EVN.AX,$5.02 B
MGM China Holdings,2282.HK,$5.02 B
Apartment Income REIT,AIRC,$5.01 B
International Game Technology,IGT,$5.01 B
Affiliated Managers Group,AMG,$5.00 B
Idacorp,IDA,$5.00 B
Nippon Express,9147.T,$4.99 B
Discovery Limited,DSY.JO,$4.99 B
Allison Transmission,ALSN,$4.99 B
RS Group,RS1.L,$4.99 B
United Bankshares,UBSI,$4.99 B
Oil India,OIL.NS,$4.98 B
Lawson,2651.T,$4.98 B
Ternium Argentina,TXAR.BA,$4.98 B
Jarir,4190.SR,$4.98 B
Boise Cascade,BCC,$4.98 B
BPER Banca,BPE.MI,$4.98 B
Genscript Biotech,1548.HK,$4.98 B
Sojitz Corporation,2768.T,$4.98 B
Energy Absolute,EA.BK,$4.98 B
Transocean,RIG,$4.97 B
Workiva,WK,$4.97 B
Rithm Capital,RITM,$4.97 B
GMO Payment Gateway,3769.T,$4.97 B
dLocal,DLO,$4.96 B
Scor,SCR.PA,$4.96 B
Valaris,VAL,$4.96 B
EXL Service,EXLS,$4.96 B
Ryder,R,$4.95 B
Kite Realty,KRG,$4.95 B
Sprouts Farmers Market,SFM,$4.95 B
Rayonier,RYN,$4.95 B
CRISPR Therapeutics,CRSP,$4.95 B
Home BancShares,HOMB,$4.94 B
Zurn Water Solutions,ZWS,$4.93 B
Axiata Group,6888.KL,$4.93 B
Elis,ELIS.PA,$4.92 B
Leapmotor,9863.HK,$4.92 B
National Beverage,FIZZ,$4.91 B
Indosat,ISAT.JK,$4.90 B
Adaro Energy,ADRO.JK,$4.90 B
Old National Bank,ONB,$4.90 B
Alpha Metallurgical Resources,AMR,$4.90 B
Sunoco,SUN,$4.90 B
PTT Global Chemical,PTTGC.BK,$4.90 B
F.N.B. Corporation,FNB,$4.89 B
Grupo Simec,SIM,$4.89 B
Reply,REY.MI,$4.89 B
Taisho Pharmaceutical,4581.T,$4.89 B
Aurora Innovation,AUR,$4.89 B
Iridium Communications,IRDM,$4.89 B
Spectris,SXS.L,$4.88 B
Tecan,TECN.SW,$4.88 B
Installed Building Products,IBP,$4.87 B
Remgro Limited,REM.JO,$4.87 B
Agilon Health,AGL,$4.87 B
Akeso,9926.HK,$4.86 B
Janus Henderson,JHG,$4.86 B
Louisiana-Pacific,LPX,$4.86 B
Air Canada,AC.TO,$4.86 B
Aspen Pharmacare,APN.JO,$4.86 B
Richter Gedeon,RIG2.F,$4.85 B
Bilibili,BILI,$4.84 B
Arcadis,ARCAD.AS,$4.84 B
Orica,ORI.AX,$4.84 B
QuidelOrtho,QDEL,$4.84 B
APL Apollo,APLAPOLLO.NS,$4.83 B
Restoration Hardware,RH,$4.83 B
Public Power Corporation,PPC.AT,$4.83 B
Fosun,0656.HK,$4.83 B
KB Home,KBH,$4.82 B
Braze,BRZE,$4.82 B
Aker ASA,AKER.OL,$4.82 B
Erdemir,EREGL.IS,$4.82 B
HUGO BOSS,BOSS.DE,$4.82 B
Halozyme Therapeutics,HALO,$4.81 B
St. James's Place,STJ.L,$4.81 B
Worldline,WLN.PA,$4.81 B
Aalberts,AALB.AS,$4.81 B
SITC International,1308.HK,$4.81 B
Strabag,XD4.F,$4.80 B
ACADIA Pharmaceuticals,ACAD,$4.80 B
Nan Ya PCB,8046.TW,$4.80 B
Hera Group,HER.MI,$4.80 B
Bosideng,3998.HK,$4.80 B
Shurgard Self Storage,SHUR.BR,$4.80 B
KPIT Technologies,KPITTECH.NS,$4.79 B
AXIS Capital,AXS,$4.79 B
Flowers Foods,FLO,$4.79 B
Phillips Edison & Company,PECO,$4.78 B
Minor International,MINT.BK,$4.78 B
Academy Sports,ASO,$4.78 B
Alkermes,ALKS,$4.77 B
Maximus,MMS,$4.77 B
Harley-Davidson,HOG,$4.77 B
Koito Manufacturing,7276.T,$4.76 B
IPG Photonics,IPGP,$4.76 B
Hanwha Solutions,009830.KS,$4.76 B
Empresas CMPC,CMPC.SN,$4.76 B
PGE Polska,PGE.WA,$4.75 B
SolarEdge,SEDG,$4.74 B
FirstCash,FCFS,$4.74 B
GLP J-REIT,3281.T,$4.74 B
Freedom Holding,FRHC,$4.74 B
Frontline,FRO,$4.74 B
Casella Waste Systems,CWST,$4.73 B
Acer,2353.TW,$4.73 B
Alaska Airlines,ALK,$4.73 B
Lundbeck,HLUN-B.CO,$4.72 B
Clariant,CLN.SW,$4.72 B
Banco Comercial Português (Millennium bcp),BCP.LS,$4.72 B
Abercrombie & Fitch,ANF,$4.72 B
Telekom Malaysia,4863.KL,$4.72 B
UNO Minda,UNOMINDA.NS,$4.71 B
Sweco,SWEC-A.ST,$4.71 B
Hiscox,HSX.L,$4.71 B
British Land,BLND.L,$4.71 B
Silgan Holdings,SLGN,$4.71 B
SFS Group,SFSN.SW,$4.70 B
Yancoal,YAL.AX,$4.70 B
ERG,ERG.MI,$4.69 B
Asia Cement,1102.TW,$4.69 B
Mitsubishi Motors,7211.T,$4.69 B
Valmont Industries,VMI,$4.69 B
Kakao Pay,377300.KS,$4.68 B
Italgas,IG.MI,$4.68 B
Varonis,VRNS,$4.68 B
Beazley,BEZ.L,$4.68 B
Şişecam,SISE.IS,$4.68 B
Ricoh Company,7752.T,$4.67 B
Topsports International,6110.HK,$4.67 B
MISUMI Group,9962.T,$4.67 B
PowerSchool,PWSC,$4.67 B
TMBThanachart Bank (ttb),TTB.BK,$4.67 B
Enstar Group,ESGR,$4.66 B
3M India,3MINDIA.NS,$4.65 B
Home Product Center,HMPRO.BK,$4.65 B
NEXTDC,NXT.AX,$4.64 B
National Fuel Gas,NFG,$4.64 B
Faurecia,EO.PA,$4.63 B
Kirby Corporation,KEX,$4.63 B
Jyske Bank,JYSK.CO,$4.63 B
FTAI Aviation,FTAI,$4.62 B
Xinyi Glass Holdings,0868.HK,$4.61 B
Petro Rabigh,2380.SR,$4.60 B
Natura&Co,NTCO,$4.60 B
CAVA Group,CAVA,$4.60 B
Balchem,BCPC,$4.60 B
GamaLife,BTRVB.LS,$4.60 B
Dixon Technologies,DIXON.NS,$4.59 B
Columbia Sportswear,COLM,$4.59 B
JAC Motors,600418.SS,$4.59 B
Revolution Medicines,RVMD,$4.58 B
Rohto Pharmaceutical,4527.T,$4.58 B
Beijing Enterprises Holdings,0392.HK,$4.58 B
Alight,ALIT,$4.58 B
Husqvarna,HUSQ-A.ST,$4.58 B
Kilroy Realty,KRC,$4.57 B
Banca Monte dei Paschi di Siena,BMPS.MI,$4.57 B
Argo Investments,ARG.AX,$4.56 B
Southwest Gas,SWX,$4.56 B
Vienna Airport,FLW1.F,$4.56 B
Valvoline,VVV,$4.56 B
Denbury,DEN,$4.56 B
Indorama Ventures,IVL.BK,$4.55 B
Sotera Health,SHC,$4.55 B
Flughafen Wien (Vienna Airport),FLU.VI,$4.55 B
China Power International Development,2380.HK,$4.54 B
iQIYI,IQ,$4.54 B
Blackbaud,BLKB,$4.54 B
TOTO,5332.T,$4.53 B
Hargreaves Lansdown,HL.L,$4.53 B
Enact Holdings,ACT,$4.53 B
Equitrans Midstream,ETRN,$4.53 B
LOTTE Chemical,011170.KS,$4.53 B
Federal Bank,FEDERALBNK.NS,$4.52 B
Perrigo,PRGO,$4.52 B
Grupo Aeroportuario Centro Norte,OMAB,$4.52 B
Nuvalent,NUVL,$4.52 B
Northland Power,NPI.TO,$4.52 B
Chemours,CC,$4.52 B
Enagás,ENG.MC,$4.52 B
New India Assurance,NIACL.NS,$4.51 B
Sharp Corporation,6753.T,$4.51 B
Lincoln National Corporation,LNC,$4.51 B
Tokyu Fudosan Holdings,3289.T,$4.51 B
Badger Meter,BMI,$4.50 B
Lancaster Colony Corporation,LANC,$4.50 B
Polestar,PSNY,$4.49 B
DKSH Holding,DKSH.SW,$4.49 B
BRF,BRFS,$4.48 B
SM Energy,SM,$4.48 B
Glacier Bancorp,GBCI,$4.47 B
VZ Holding,VZN.SW,$4.47 B
The Bidvest Group,BVT.JO,$4.47 B
Portland General Electric,POR,$4.46 B
Burjeel Holdings,BURJEEL.AE,$4.46 B
PPB Group Berhad,4065.KL,$4.45 B
Syneos Health,SYNH,$4.45 B
QuantumScape,QS,$4.45 B
COSMOS Pharmaceutical,3349.T,$4.45 B
Federal Signal,FSS,$4.45 B
Euronet Worldwide,EEFT,$4.45 B
Ormat Technologies,ORA,$4.44 B
SJVN,SJVN.NS,$4.44 B
Patterson-UTI Energy,PTEN,$4.44 B
Piraeus Financial Holdings,TPEIR.AT,$4.44 B
Jubilant FoodWorks,JUBLFOOD.NS,$4.44 B
Coromandel,COROMANDEL.NS,$4.44 B
Glanbia plc,GL9.IR,$4.43 B
SPX Corporation,SPXC,$4.43 B
Kyndryl,KD,$4.43 B
Subsea 7,SUBC.OL,$4.43 B
New Jersey Resources,NJR,$4.42 B
Hostess Brands,TWNK,$4.42 B
IAC/InterActiveCorp,IAC,$4.42 B
Coforge,COFORGE.NS,$4.41 B
China Resources Pharmaceutical Group,3320.HK,$4.41 B
Power Integrations,POWI,$4.40 B
Lantheus Holdings,LNTH,$4.40 B
Hanover Insurance Group,THG,$4.40 B
Qatar International Islamic Bank,QIIK.QA,$4.40 B
Signet Jewelers,SIG,$4.40 B
Square Enix,9684.T,$4.40 B
Stericycle,SRCL,$4.40 B
Exponent,EXPO,$4.39 B
Tsuruha Holdings,3391.T,$4.39 B
Coca-Cola İçecek,CCOLA.IS,$4.39 B
Algonquin Power & Utilities,AQN,$4.39 B
Air Lease Corporation,AL,$4.39 B
Mainfreight,MFT.NZ,$4.38 B
City Developments,C09.SI,$4.38 B
Triton International,TRTN,$4.38 B
Qatar Fuel Company (WOQOD),QFLS.QA,$4.37 B
Impala Platinum,IMP.JO,$4.37 B
Magnolia Oil & Gas,MGY,$4.37 B
Greencoat UK Wind,UKW.L,$4.37 B
American Equity Investment Life Holding,AEL,$4.37 B
Fukuoka Financial Group,8354.T,$4.36 B
Radian Group,RDN,$4.36 B
Summit Materials,SUM,$4.36 B
Ollie's Bargain Outlet,OLLI,$4.36 B
Hilton Grand Vacations,HGV,$4.35 B
AGL Energy,AGL.AX,$4.35 B
Merit Medical,MMSI,$4.35 B
Interparfums,IPAR,$4.35 B
Enel Chile,ENIC,$4.35 B
Charoen Pokphand Foods,CPF.BK,$4.34 B
ASGN,ASGN,$4.34 B
Saudi Kayan Petrochemical Company,2350.SR,$4.34 B
Turkcell,TKC,$4.34 B
Sixt,SIX2.F,$4.34 B
Shin Kong Financial Holding,2888.TW,$4.34 B
Galenica,GALE.SW,$4.34 B
DXC Technology,DXC,$4.33 B
Crescent Point Energy,CPG,$4.33 B
Ebos Group,EBO.NZ,$4.33 B
Boyd Group,BYD.TO,$4.32 B
Ecopro BM,247540.KQ,$4.32 B
Saudi Investment Bank,1030.SR,$4.31 B
Thermax,THERMAX.NS,$4.31 B
Western Union,WU,$4.31 B
Franklin Electric,FELE,$4.31 B
Avnet,AVT,$4.30 B
Cabot Corporation,CBT,$4.30 B
China Airlines,2610.TW,$4.30 B
United Internet,UTDI.F,$4.30 B
Assured Guaranty,AGO,$4.30 B
Insperity,NSP,$4.30 B
R1 RCM,RCM,$4.30 B
Indoritel,DNET.JK,$4.29 B
Steadfast Group,SDF.AX,$4.29 B
Metropolitan Bank (Metrobank),MTPOF,$4.29 B
Fielmann,FIE.F,$4.29 B
Agility Public Warehousing Company,AGLTY.KW,$4.28 B
HashiCorp,HCP,$4.28 B
Schneider,SNDR,$4.28 B
Huhtamäki,HUH1V.HE,$4.28 B
Joby Aviation,JOBY,$4.28 B
Wynn Macau,1128.HK,$4.28 B
Asbury Automotive Group,ABG,$4.26 B
Samsonite International,1SO.F,$4.26 B
Luzerner Kantonalbank,LUKN.SW,$4.25 B
Huntsman Corporation,HUN,$4.25 B
MSG Sports,MSGS,$4.25 B
Armstrong World Industries,AWI,$4.25 B
Banca Generali,BGN.MI,$4.24 B
PennyMac,PFSI,$4.23 B
Aixtron,AIXA.F,$4.23 B
Neogen,NEOG,$4.23 B
JCDecaux,DEC.PA,$4.23 B
Copa Holdings,CPA,$4.23 B
Endava,DAVA,$4.23 B
Ryohin Keikaku,7453.T,$4.22 B
SimCorp,SIM.CO,$4.22 B
Cirrus Logic,CRUS,$4.22 B
abrdn,ABDN.L,$4.22 B
PB Fintech,POLICYBZR.NS,$4.21 B
Lynas,LYC.AX,$4.21 B
RioCan REIT,REI-UN.TO,$4.21 B
Madrigal Pharmaceuticals,MDGL,$4.21 B
ABC-Mart,2670.T,$4.21 B
Iida Group,3291.T,$4.21 B
Sallie Mae,SLM,$4.21 B
BAWAG Group,0B2.F,$4.20 B
Merdeka Copper Gold,MDKA.JK,$4.20 B
Siegfried Holding,SFZN.SW,$4.20 B
Simply Good Foods,SMPL,$4.20 B
Bucher Industries,BUCN.SW,$4.20 B
PCCW,0008.HK,$4.20 B
GATX,GATX,$4.19 B
Thyssenkrupp,TKA.F,$4.19 B
L'Occitane International,COC.F,$4.19 B
Kosé,4922.T,$4.19 B
Vopak,VPK.AS,$4.19 B
Unipol Gruppo,UNI.MI,$4.19 B
H.B. Fuller,FUL,$4.19 B
Gujarat Gas,GUJGASLTD.NS,$4.18 B
Topdanmark,TOP.CO,$4.18 B
Petronet LNG,PETRONET.NS,$4.18 B
Teradata,TDC,$4.18 B
PrairieSky Royalty,PSK.TO,$4.18 B
Hankook Tire,161390.KS,$4.17 B
Insmed,INSM,$4.17 B
Finning,FTT.TO,$4.16 B
Haemonetics,HAE,$4.15 B
Howard Hughes Holdings,HHH,$4.14 B
Tritax Big Box REIT,BBOX.L,$4.14 B
Vanguard International Semiconductor,5347.TWO,$4.14 B
Mirati Therapeutics,MRTX,$4.14 B
HEXPOL AB,HPOL-B.ST,$4.14 B
Bank AlJazira,1020.SR,$4.13 B
Squarespace,SQSP,$4.13 B
Mr. Cooper Group,COOP,$4.13 B
Global Power Synergy,GPSC.BK,$4.12 B
ALS Global,ALQ.AX,$4.12 B
Grupo Catalana Occidente,GCO.MC,$4.11 B
First Financial Bankshares,FFIN,$4.11 B
Signify,LIGHT.AS,$4.11 B
Computacenter,CCC.L,$4.10 B
Innolux,3481.TW,$4.10 B
Clicks Group,CLS.JO,$4.10 B
Sabancı Holding,SAHOL.IS,$4.10 B
ATS Automation,ATS,$4.09 B
Budimex,BDX.WA,$4.09 B
Fluence Energy,FLNC,$4.08 B
First International Bank of Israel,FIBI.TA,$4.08 B
Isetan Mitsukoshi Holdings,3099.T,$4.08 B
Schaeffler,SHA.F,$4.08 B
JSC Halyk Bank,H4L1.F,$4.08 B
CorVel Corporation,CRVL,$4.08 B
Biocon,BIOCON.NS,$4.08 B
Deepak Nitrite,DEEPAKNTR.NS,$4.07 B
Synaptics,SYNA,$4.07 B
Corporación América Airports,CAAP,$4.07 B
Matson,MATX,$4.07 B
Herc Holdings,HRI,$4.06 B
American Eagle Outfitters,AEO,$4.05 B
Hong Leong Financial Group,1082.KL,$4.05 B
Vistry Group,VTY.L,$4.05 B
Ashland,ASH,$4.05 B
Whitecap Resources,WCP.TO,$4.04 B
Vertex,VERX,$4.03 B
Voltas,VOLTAS.NS,$4.03 B
Games Workshop Group,GAW.L,$4.03 B
YETI Holdings,YETI,$4.02 B
Korea Aerospace Industries,047810.KS,$4.02 B
Hancock Whitney,HWC,$4.02 B
Nisshin Seifun Group,2002.T,$4.02 B
Bank of Maharashtra,MAHABANK.NS,$4.02 B
LG Household & Health Care,051905.KS,$4.01 B
Envista,NVST,$4.01 B
Acushnet Holdings,GOLF,$4.01 B
Brembo,BRE.MI,$4.01 B
Alpha Services and Holdings,ALPHA.AT,$4.00 B
Harmony Gold,HMY,$4.00 B
Ambu,AMBU-B.CO,$4.00 B
Boston Beer Company,SAM,$4.00 B
Bank Mega,MEGA.JK,$3.99 B
B2Gold,BTG,$3.99 B
Japan Airport Terminal,9706.T,$3.99 B
Essential Properties Realty Trust,EPRT,$3.99 B
Freshpet,FRPT,$3.98 B
Sumitomo Chemical,4005.T,$3.97 B
Boral,BLD.AX,$3.97 B
TFS Financial,TFSL,$3.97 B
MDC Holdings,MDC,$3.97 B
MDU Resources,MDU,$3.96 B
TOTVS,TOTS3.SA,$3.96 B
Storebrand,STB.OL,$3.96 B
Melco Resorts & Entertainment,MLCO,$3.96 B
UMB Financial,UMBF,$3.96 B
Air France-KLM,AF.PA,$3.95 B
Skyline Champion,SKY,$3.95 B
Tikehau Capital,TKO.PA,$3.95 B
Banco del Bajío,BBAJIOO.MX,$3.95 B
Cleanaway Waste Management,CWY.AX,$3.94 B
Fluidra,FDR.MC,$3.94 B
Dongfeng Motor,0489.HK,$3.94 B
Bellway,BWY.L,$3.93 B
JB Hi-Fi,JBH.AX,$3.93 B
Amicus Therapeutics,FOLD,$3.93 B
Contact Energy,CEN.NZ,$3.93 B
Wendel,MF.PA,$3.93 B
Johnson Matthey,JMAT.L,$3.92 B
Kingsoft,3888.HK,$3.91 B
Jackson Financial,JXN,$3.91 B
Axsome Therapeutics,AXSM,$3.91 B
White Mountains Insurance Group,WTM,$3.91 B
Group 1 Automotive,GPI,$3.91 B
Gland Pharma,GLAND.NS,$3.91 B
Honeywell Automation India,HONAUT.NS,$3.90 B
Wendy’s Company,WEN,$3.89 B
GCL Technology,3800.HK,$3.89 B
TUI,TUI1.F,$3.89 B
Max Financial Services,MFSL.NS,$3.89 B
Fortis Healthcare,FORTIS.NS,$3.89 B
UOL Group,U14.SI,$3.89 B
Genting Berhad,3182.KL,$3.88 B
Wallenius Wilhelmsen,WAWI.OL,$3.88 B
Hisense Visual Technology,600060.SS,$3.88 B
QNB Finansleasing,QNBFL.IS,$3.88 B
Plains GP,PAGP,$3.88 B
Grand Canyon Education,LOPE,$3.88 B
Arcosa,ACA,$3.87 B
Ringkjøbing Landbobank,RILBA.CO,$3.87 B
Haitian International Holdings,1882.HK,$3.87 B
Ultragenyx,RARE,$3.86 B
Surgery Partners,SGRY,$3.86 B
PotlatchDeltic,PCH,$3.86 B
NOF Corporation,4403.T,$3.86 B
momo.com Inc.,8454.TW,$3.86 B
EngageSmart,ESMT,$3.85 B
Goodyear,GT,$3.85 B
NLC India,NLCINDIA.NS,$3.85 B
Silicon Labs,SLAB,$3.84 B
Yamaha,7951.T,$3.84 B
Pegasystems,PEGA,$3.84 B
Axcelis Technologies,ACLS,$3.84 B
Apple Hospitality REIT,APLE,$3.84 B
EFG International,EFGN.SW,$3.84 B
Megacable Holdings,MEGACPO.MX,$3.83 B
EnerSys,ENS,$3.83 B
Melexis NV,MELE.BR,$3.83 B
Terex,TEX,$3.82 B
Acom,8572.T,$3.82 B
Sibanye-Stillwater,SBSW,$3.82 B
Nova Measuring Instruments,NVMI,$3.81 B
Qube Holdings,QUB.AX,$3.81 B
C&D International Investment Group,1908.HK,$3.81 B
NCR Corporation,NCR,$3.81 B
Asana,ASAN,$3.81 B
IG Group,IGG.L,$3.79 B
Synnex Technology International,2347.TW,$3.79 B
PJT Partners,PJT,$3.78 B
Bezeq,BEZQ.TA,$3.78 B
Inchcape,INCH.L,$3.78 B
LIC Housing Finance,LICHSGFIN.NS,$3.78 B
PagSeguro,PAGS,$3.77 B
Sunrun,RUN,$3.76 B
ManpowerGroup,MAN,$3.76 B
Krones,KRN.F,$3.76 B
Kansai Paint,4613.T,$3.76 B
Brink's,BCO,$3.75 B
Advanced Energy,AEIS,$3.75 B
Virtu Financial,VIRT,$3.75 B
Inmobiliaria Colonial,COL.MC,$3.75 B
Melisron,MLSR.TA,$3.75 B
DMG Mori,GIL.F,$3.74 B
Evotec,EVO,$3.74 B
Asset World Corp,AWC.BK,$3.74 B
Glaukos,GKOS,$3.74 B
Buenaventura Mining Company,BVN,$3.74 B
Black Hills,BKH,$3.74 B
Evolent Health,EVH,$3.73 B
