company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
"Alectra, Inc. (Canada)",34.1,-,,,,,
Alembic Pharmaceuticals Ltd.,34.1,BOM:533573,,,,,
Alerion Cleanpower SpA,24.0,MIL:ARN,,,,,
Alerus Financial Corp.,29.8,NAS:ALRS,,,,,
"Alexander & Baldwin, Inc.",21.2,NYS:ALEX,,,,,
"Alexander Marine Co., Ltd.",13.7,TAI:8478,,,,,
"Alexander's, Inc.",20.2,NYS:ALX,,,,,
Alexandria Mineral Oils Co.,33.0,CAI:AMOC,,,,,
"Alexandria Real Estate Equities, Inc.",13.9,NYS:ARE,,,,,
Alfa Desarrollo SpA,31.3,-,,,,,
Alfa Financial Software Holdings Plc,14.5,LON:ALFA,,,,,
Alfa Laval AB,23.8,OME:ALFA,,,,,
Alfa SAB de CV,44.6,MEX:ALFAA,,,,,
Alfen NV,20.3,AMS:ALFEN,,,,,
Alfresa Holdings Corp.,18.1,TKS:2784,,,,,
Algonquin Power & Utilities Corp.,21.3,TSE:AQN,,,,,
Algonquin Power Corp.,28.1,-,,,,,
ALi Corp.,38.0,TAI:3041,,,,,
Aliaxis SA,27.7,BRU:1153318,,,,,
Alibaba Group Holding Ltd.,26.3,HKG:9988,,,,,
Alibaba Health Information Technology Ltd.,21.7,HKG:241,,,,,
Alibaba Pictures Group Ltd.,18.9,HKG:1060,,,,,
Alicorp SAA,35.2,LIM:ALICORC1,,,,,
"Alight, Inc.",17.5,NYS:ALIT,,,,,
"Align Technology, Inc.",18.9,NAS:ALGN,,,,,
"Alignment Healthcare, Inc.",23.2,NAS:ALHC,,,,,
Alimak Group AB,23.2,OME:ALIG,,,,,
